Unnamed: 0,Planet Name,Planet Letter,Host Star Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Proper Motion,Planet Reference Name,Discovery Method,Discovery Year,Discovery Publication Date,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Error (Lower),Star Mass Error (Upper),Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Distance Error (Lower),Distance Error (Upper),Parallax Error (Lower),Parallax Error (Upper),Semi-Major Axis (AU),Star Radius (AU),Star Age (Gyr)
1253,CoRoT-19 b,b,CoRoT-19,0.0673413506707253,0.047,88.0,14.46,0.71,1692.2577643202076,2.7834683626967903e-14,76.80132231404961,4.7,1.21,6090.0,0.544,1.65,5.0,-0.02,790.663,1.23764,7.6938008,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,Transit,2011,2012-01,0,4,0,0,97.0335983,-0.1707293,210.42057,-5.26125,0.34,-0.34,0.0,0.05,-0.05,0.0,0.04,-0.04,0.0,1.0,-1.0,0.0,26.737,-25.071,0.0410691,-0.0410691,0.0518,0.0079994145,6.209213230591553
1254,HD 219134 g,g,HD 219134,1.625302372584026,0.0,86.90317161570154,3.28,1.68,346.4774504845019,1.1744270715967736e-11,18.14538708045201,3.184,0.79,4913.0,-0.509,0.77,12.46,0.08,6.53127,153.081,2095.3807469,<a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>,Radial Velocity,2015,2015-11,1,4,5,0,348.3372026,57.1696255,109.90724,-3.20073,0.27,-0.213,0.0,0.04,-0.02,0.0,0.02,-0.02,0.0,2.2,-1.9,0.0,0.00384,-0.00385,0.0895024,-0.0895024,0.3753,0.0037330601,18.027365821599485
1255,WASP-172 b,b,WASP-172,0.0941078691232069,0.0,86.7,17.598,0.16,1782.2071006449664,1.0322332851480692e-13,84.89065650612646,5.2944,1.49,6900.0,0.934436433603624,1.91,1.79,-0.1,538.11,1.83142,15.9842834,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.1379H/abstract target=ref>Hellier et al. 2019</a>,Transit,2018,2019-01,0,0,0,0,199.433742,-47.2375748,307.55664,15.3979,1.121,-1.121,0.0,0.07,-0.07,0.0,0.1,-0.1,0.0,0.28,-0.28,0.0,15.269,-14.463,0.0509027,-0.0509027,0.0694,0.0092599283,3.690067656948068
1256,KMT-2021-BLG-0712L b,b,KMT-2021-BLG-0712L,44.3096163363973,0.0,86.90317161570154,6.91,0.636,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.22,5551.0,-0.0712,0.95,4.0,0.02,3090.0,2.713985,18.7319359,<a refstr=RYU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...83R/abstract target=ref>Ryu et al. 2023</a>,Microlensing,2023,2023-03,0,0,0,0,269.2856667,-31.1844694,359.33831,-3.29115,0.27,-0.213,0.0,0.12,-0.07,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,940.0,-750.0,0.0301566,-0.0301566,2.22,0.0046057235,440.4973478421703
1257,TOI-4479 b,b,TOI-4479,0.0196715863485854,0.0,86.36,2.82,2.05,876.8703400689768,92.5,39.2711111111111,1.16887016806511,0.45,3400.0,-1.604,0.45,4.0,0.0,80.6532,12.37,151.4452179,<a refstr=ESPARZA_BORGES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220610643E/abstract target=ref>Esparza-Borges et al. 2022</a>,Transit,2022,2022-06,0,0,0,0,316.0969388,24.6536739,71.14123,-14.66339,0.65,-0.63,0.0,0.09,-0.09,0.0,0.09,-0.09,0.0,2.2,-1.9,0.0,0.2574,-0.2558,0.0391567,-0.0391567,0.0164,0.0021816585,73.61540666665974
1258,Kepler-670 b,b,Kepler-670,0.0473326077279724,0.0,89.37,13.18,2.61,1429.0597384913915,528.223,177.23946536067749,2.50522,0.99,5709.0,-0.100296291452238,0.99,4.79,0.07,939.744,1.03558,4.550097,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Transit,2016,2016-05,0,0,0,0,297.0154644,49.2252988,82.63553,11.72179,2.94,-1.21,0.0,0.05,-0.06,0.0,0.22,-0.09,0.0,3.69,-2.94,0.0,18.25,-17.58,0.0201268,-0.0201268,0.0383,0.0047996487,10.254441539222652
1259,Kepler-1651 b,b,Kepler-1651,0.1586124736439993,0.13,89.97,1.84,3.56,491.3930781946156,5.65,13.5424,1.8915,0.52,3713.0,-1.368,0.5,4.0,-0.16,66.4074,15.0296,49.8624206,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..267M/abstract target=ref>Mann et al. 2017</a>,Transit,2017,2017-06,0,0,0,0,283.6282602,48.3908081,78.1688,19.45131,0.11,-0.11,0.0,0.03,-0.03,0.0,0.03,-0.03,0.0,2.2,-1.9,0.0,0.1062,-0.1059,0.023861,-0.023861,0.0692,0.002424065,51.28515127822014
1260,WASP-148 b,b,WASP-148,0.1517851965597495,0.208,89.3,8.474,0.831,910.2760285662443,72.699,86.71498128245382,3.016,0.95,5555.0,-0.139,0.91,3.6,0.099,246.353,4.03046,30.2312754,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...663A.134A/abstract target=ref>Almenara et al. 2022</a>,Transit,2020,2020-08,0,0,0,0,254.1305022,44.3025361,69.45427,38.65518,0.146,-0.191,0.0,0.03,-0.05,0.0,0.01,-0.01,0.0,4.0,-2.7,0.0,1.575,-1.555,0.0255922,-0.0255922,0.08215,0.0044117983,11.368181186539106
1261,MOA-2022-BLG-249L b,b,MOA-2022-BLG-249L,30.819459816163235,0.0,86.90317161570154,2.04,3.13,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.18,5551.0,-0.0712,0.95,4.0,0.02,2000.0,2.713985,18.7319359,<a refstr=HAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...674A..89H/abstract target=ref>Han et al. 2023</a>,Microlensing,2023,2023-06,0,0,0,0,268.8655417,-28.3060611,1.64781,-1.53209,0.27,-0.213,0.0,0.05,-0.05,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,420.0,-420.0,0.0301566,-0.0301566,1.63,0.0046057235,727.476112331839
1262,TOI-411 b,b,HD 22946,0.0821058876157583,0.126,88.3,1.362,18.96,1343.1741361424845,1.6977857337514373e-12,1.4788297193877549,3.074,1.1,6169.0,0.209191586026101,1.12,2.5,-0.08,62.7792,15.8999,122.0961548,<a refstr=GARAI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...674A..44G/abstract target=ref>Garai et al. 2023</a>,Transit,2022,2022-09,0,0,0,0,54.819538,-42.7630276,248.83207,-52.70009,0.04,-0.04,0.0,0.04,-0.04,0.0,0.01,-0.01,0.0,1.0,-1.0,0.0,0.1161,-0.1156,0.0291804,-0.0291804,0.05727,0.0054299056,7.879856109467703
1263,TOI-411 c,c,HD 22946,0.194296490043879,0.16,88.57,2.328,3.15,1007.9417526078358,1.6977857337514373e-12,4.320459183673468,3.684,1.1,6169.0,0.209191586026101,1.12,2.5,-0.08,62.7792,15.8999,122.0961548,<a refstr=GARAI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...674A..44G/abstract target=ref>Garai et al. 2023</a>,Transit,2022,2022-09,0,0,0,0,54.819538,-42.7630276,248.83207,-52.70009,0.038,-0.039,0.0,0.04,-0.04,0.0,0.01,-0.01,0.0,1.0,-1.0,0.0,0.1161,-0.1156,0.0291804,-0.0291804,0.1017,0.0054299056,7.879856109467703
1264,HD 22946 d,d,HD 22946,0.9637863702535632,0.0,86.90317161570154,2.607,10.8,591.0127189492968,1.6977857337514373e-12,5.418087531887754,6.482,1.1,6169.0,0.209191586026101,1.12,2.5,-0.08,62.7792,15.8999,122.0961548,<a refstr=GARAI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...674A..44G/abstract target=ref>Garai et al. 2023</a>,Transit,2023,2023-06,0,0,0,0,54.819538,-42.7630276,248.83207,-52.70009,0.06,-0.06,0.0,0.04,-0.04,0.0,0.01,-0.01,0.0,1.0,-1.0,0.0,0.1161,-0.1156,0.0291804,-0.0291804,0.2958,0.0054299056,7.879856109467703
1265,Kepler-425 b,b,Kepler-425,0.0651201459008542,0.33,87.02,10.962,0.27,1095.8545343143728,229.036,162.47355868036774,2.353,0.93,5170.0,-0.323,0.86,5.0,0.24,646.647,1.51803,10.4987288,<a refstr=H_EACUTE_BRARD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...572A..93H/abstract target=ref>H&eacute;brard et al. 2014</a>,Transit,2014,2014-12,0,0,0,0,290.3579781,40.5676965,72.57481,12.02393,0.247,-0.247,0.0,0.05,-0.05,0.0,0.02,-0.02,0.0,4.0,-4.0,0.0,10.7805,-10.7805,0.02558,-0.02558,0.0464,0.0041693918,11.98926690635247
1266,OGLE-2019-BLG-0468L b,b,OGLE-2019-BLG-0468L,39.09127194049204,0.0,86.90317161570154,13.1,2.66,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.92,5551.0,-0.0712,0.95,4.0,0.02,4400.0,2.713985,18.7319359,<a refstr=HAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A..93H/abstract target=ref>Han et al. 2022</a>,Microlensing,2022,2022-02,0,0,0,0,266.406,-24.4472778,3.83406,2.33632,0.27,-0.213,0.0,0.49,-0.32,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,1150.0,-1020.0,0.0301566,-0.0301566,3.29,0.0046057235,12.317722947606022
1267,OGLE-2019-BLG-0468L c,c,OGLE-2019-BLG-0468L,30.19990718940953,0.0,86.90317161570154,12.5,9.14,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.92,5551.0,-0.0712,0.95,4.0,0.02,4400.0,2.713985,18.7319359,<a refstr=HAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A..93H/abstract target=ref>Han et al. 2022</a>,Microlensing,2022,2022-02,0,0,0,0,266.406,-24.4472778,3.83406,2.33632,0.27,-0.213,0.0,0.49,-0.32,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,1150.0,-1020.0,0.0301566,-0.0301566,2.77,0.0046057235,12.317722947606022
1268,GJ 3222 b,b,GJ 3222,0.182829787091136,0.929,86.90317161570154,3.4,1.6,828.1194094378637,1.1744270715967736e-11,13.3258716241648,3.184,0.89,5257.46,-0.252,0.931389,4.0,0.16,18.23817,54.8301,65.667873,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,Radial Velocity,2022,2022-09,1,0,0,0,50.8972464,-40.0762325,245.24126,-56.09164,0.27,-0.213,0.0,0.11,-0.11,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,4.416,-4.3245000000000005,0.673726,-0.673726,0.091,0.00451549495257,13.382121954378992
1269,GJ 680 b,b,GJ 680,299.04006803963017,0.381,21.984,12.0,25.4,37.33999152352721,1.1744270715967736e-11,682.5160515724656,3.184,0.46,3563.0,-1.51379203893609,0.45933,4.0,0.02,9.67315,103.35,476.1883734,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,Radial Velocity,2022,2022-09,1,0,0,0,263.8072214,-48.6788427,342.07898,-8.6634,0.27,-0.213,0.0,0.05,-0.05,0.0,0.0136627,-0.0136627,0.0,2.2,-1.9,0.0,0.005135,-0.005135,0.0544953,-0.0544953,10.138,0.0022268915529,69.67956340023493
1270,Kepler-424 c,c,Kepler-424,3.89945103793112,0.0,86.90317161570154,12.7,5.94,305.0473594148499,1.1744270715967736e-11,182.5373472159348,3.184,1.01,5460.0,-0.15,0.94,4.9,0.44,698.646,1.40277,6.294719,<a refstr=ENDL_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795..151E/abstract target=ref>Endl et al. 2014</a>,Radial Velocity,2014,2014-11,0,0,0,0,298.6249797,48.57745,82.57663,10.48256,0.27,-0.213,0.0,0.05,-0.05,0.0,0.06,-0.06,0.0,3.3,-2.4,0.0,10.125,-9.844,0.0202975,-0.0202975,0.73,0.0045572422,9.754310265758154
1271,OGLE-2017-BLG-1375L b,b,OGLE-2017-BLG-1375L,37.00392008200336,0.0,86.90317161570154,12.4,10.3,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.81,5551.0,-0.0712,0.95,4.0,0.02,3930.0,2.713985,18.7319359,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.110H/abstract target=ref>Han et al. 2020</a>,Microlensing,2020,2020-10,0,0,0,0,269.154875,-30.3114167,0.03925,-2.75739,0.27,-0.213,0.0,0.63,-0.24,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,1490.0,-910.0,0.0301566,-0.0301566,3.04,0.0046057235,16.935087808430286
1272,Wendelstein-1 b,b,Wendelstein-1,0.0369059893868072,0.012,86.12,11.561,0.72,973.4274722611976,113.614249670104,359.19570276807315,1.84296876362503,0.65,4251.0,-0.937697859241522,0.61,4.0,0.02,305.3,3.24702,4.5190219,<a refstr=OBERMEIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A.130O/abstract target=ref>Obermeier et al. 2020</a>,Transit,2020,2020-07,0,0,0,0,299.0506412,17.5699627,55.99845,-5.67824,0.068,-0.068,0.0,0.1,-0.1,0.0,0.09,-0.09,0.0,2.2,-1.9,0.0,3.002,-2.945,0.0316572,-0.0316572,0.0282,0.0029573593,29.35733363058188
1273,KMT-2021-BLG-1150L b,b,KMT-2021-BLG-1150L,70.20001565192301,0.0,86.90317161570154,13.9,0.572,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.73,5551.0,-0.0712,0.95,4.0,0.02,3800.0,2.713985,18.7319359,<a refstr=HAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A..36H/abstract target=ref>Han et al. 2023</a>,Microlensing,2023,2023-07,0,0,0,0,268.790125,-31.3133306,359.01409,-2.98902,0.27,-0.213,0.0,0.32,-0.3,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,1300.0,-1200.0,0.0301566,-0.0301566,4.5,0.0046057235,21.96306008559403
1274,gam Cep b,b,gam Cep,17.331949423190796,0.15,86.90317161570154,12.7,5.63,350.707356284947,1.7257738576779387e-10,7.178781890366571,3.184,1.27,4775.0,1.073,4.74,5.7,0.18,14.1024,70.91,136.1249426,<a refstr=KNUDSTRUP_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.197K/abstract target=ref>Knudstrup et al. 2023</a>,Radial Velocity,2003,2003-12,1,12,2,0,354.8358233,77.6331009,118.99221,15.31627,0.27,-0.213,0.0,0.05,-0.07,0.0,0.07,-0.08,0.0,0.8,-0.9,0.0,0.0989298,-0.0989298,0.4,-0.4,2.13,0.0229801362,5.501621361622629
1275,Kepler-46 d,d,Kepler-46,0.1136051864340563,0.0,88.51,1.64,4.15,897.5548544348377,92.346,4.30956577471559,2.598,0.92,5309.0,-0.377749079117757,0.79,4.5,0.37,777.06,1.25859,3.2798182,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,289.2687388,42.6041819,74.1138,13.62366,0.92,-0.92,0.0,0.029,-0.029,0.0,0.44,-0.44,0.0,3.8,-3.8,0.0,17.209,-16.493,0.0276851,-0.0276851,0.067,0.0038300227,12.317722947606022
1276,OGLE-2016-BLG-0613L AB b,b,OGLE-2016-BLG-0613L AB,119.89017140976176,0.0,86.90317161570154,13.0,3.33,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.72,5551.0,-0.0712,0.95,4.0,0.02,3410.0,2.713985,18.7319359,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,Microlensing,2017,2017-12,0,0,0,0,269.260406,-28.1161671,1.98694,-1.73756,0.27,-0.213,0.0,0.55,-0.42,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,1340.0,-1420.0,0.0301566,-0.0301566,6.4,0.0046057235,22.733628510369968
1277,LHS 475 b,b,LHS 475,0.0358244670191542,0.0,87.194,0.991,5.31,602.3786509955826,20.8,12.526543367346935,0.725,0.26,3300.0,-2.06449273417529,0.28,4.0,0.02,12.4814,80.0903,1276.9225263,<a refstr=LUSTIG_YAEGER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs.tmp..179L/abstract target=ref>Lustig-Yaeger et al. 2023</a>,Transit,2023,2023-08,0,0,0,0,290.2379403,-82.5597883,311.28216,-27.83616,0.05,-0.05,0.0,0.05,-0.05,0.0,0.0,-0.0,0.0,2.2,-1.9,0.0,0.0065,-0.0065,0.0416592,-0.0416592,0.02037,0.0013574764,290.11262594405923
1278,TOI-904 c,c,TOI-904,1.4632473487216429,0.0,89.83,2.167,2.88,241.93414011309383,0.544859898680116,16.717297970808115,5.04,0.56,3770.2,-1.292,0.53,1.5,0.022,46.0891,21.6681,114.5734091,<a refstr=HARRIS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...959L...1H/abstract target=ref>Harris et al. 2023</a>,Transit,2023,2023-12,0,0,0,0,89.3712733,-83.1297264,295.32399,-28.52495,0.13,-0.118,0.0,0.03,-0.03,0.0,0.02,-0.02,0.0,0.2,-0.2,0.0,0.0349,-0.0349,0.0162974,-0.0162974,0.312,0.0025695089,42.61180515185337
1279,TOI-1758 b,b,TOI-1758,0.3535570094455703,0.0,86.90317161570154,3.557,0.83,618.2029361117575,13.1989,18.8165511600238,3.6704874,0.83,5151.0,-0.373,0.82,7.5,-0.02,96.6215,10.3209,86.3866117,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2024,2024-06,0,0,0,0,354.741581,75.6852317,118.39752,13.45539,0.228,-0.142,0.0,0.03,-0.03,0.0,0.01,-0.01,0.0,3.7,-3.2,0.0,0.3434,-0.3409,0.0363722,-0.0363722,0.138,0.0039754666,15.93326462326758
1280,Kepler-77 b,b,Kepler-77,0.0615575866551385,0.0,88.0,10.761,0.603,1274.6011297120135,432.871,118.15031221303948,2.93376,0.95,5520.0,-0.046,0.99,7.5,0.2,639.411,1.53518,2.6367816,<a refstr=GANDOLFI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...557A..74G/abstract target=ref> Gandolfi et al. 2013 </a>,Transit,2013,2013-09,0,2,0,0,289.6079433,44.3454347,75.85191,14.1188,0.179,-0.179,0.0,0.04,-0.04,0.0,0.02,-0.02,0.0,2.0,-2.0,0.0,7.055,-7.055,0.0171248,-0.0171248,0.04501,0.0047996487,11.368181186539106
1281,TOI-2010 b,b,TOI-2010,2.443176065725018,0.212,89.903,11.814,1.36,408.4635709940617,3.058506029403545e-13,119.65929012345676,8.681,1.11,5929.0,0.114,1.08,1.9,0.168,109.19,9.12952,42.0137269,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231110232M/abstract target=ref>Mann et al. 2023</a>,Transit,2023,2023-12,0,0,0,0,292.1669417,53.4873694,85.21298,16.31045,0.303,-0.303,0.0,0.05,-0.06,0.0,0.03,-0.03,0.0,2.2,-1.3,0.0,0.322,-0.32,0.0267329,-0.0267329,0.5516,0.0052359804,7.703579220456933
1282,HIP 54597 b,b,HIP 54597,56.19851784832581,0.03,116.0,13.3,1.78,95.9764876676091,0.0143,406.0835629017448,3.184,0.8,4799.0,-0.681936665037238,0.66,4.3,-0.22,39.7429,25.1329,75.57022,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,Radial Velocity,2023,2023-06,0,0,0,0,167.6082179,-29.4143018,277.9167,28.50517,0.27,-0.213,0.0,0.04,-0.04,0.0,0.025,-0.025,0.0,4.0,-4.0,0.0,0.0664,-0.0663,0.0417036,-0.0417036,4.0,0.0031997658,17.469281074217104
1283,TOI-1411 b,b,TOI-1411,0.0250739244242243,0.0,86.90317161570154,1.199,6.36,1086.2610260863275,266.85,3.863480247245365,1.5088724,0.6,4115.0,-1.013,0.61,9.6,0.012,32.4778,30.7613,336.2326566,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2022,2022-02,0,0,0,0,232.946047,47.0555507,76.25875,52.90913,0.049,-0.045,0.0,0.01,-0.01,0.0,0.02,-0.02,0.0,6.6,-6.3,0.0,0.0225,-0.0225,0.0211787,-0.0211787,0.02122,0.0029573593,35.86095690932794
1284,HR 2562 b,b,HR 2562,504.0251981985143,0.0,86.90317161570154,12.442,27.2,89.80436424994986,1.4699861599375872e-11,71.92609417831197,3.184,1.3,6785.0,0.531474241964728,1.4670569,0.6,0.02,34.0071,29.3767,108.477275,<a refstr=KONOPACKY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...829L...4K/abstract target=ref>Konopacky et al. 2016</a>,Imaging,2016,2016-09,1,0,0,0,102.5042716,-60.2486775,270.17524,-23.49177,1.233,-1.233,0.0,0.05,-0.05,0.0,0.0301939,-0.0369224,0.0,0.3,-0.3,0.0,0.048,-0.0478,0.0411369,-0.0411369,20.3,0.007112482568597,5.189692421935083
1285,Kepler-45 b,b,Kepler-45,0.0425045815141254,0.11,87.0,10.76,0.8,805.2972403259971,68.37,382.735867768595,1.72722,0.59,3820.0,-1.27572413039921,0.55,0.5,0.28,381.949,2.59039,22.0710956,<a refstr=JOHNSON_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012AJ....143..111J/abstract target=ref> Johnson et al. 2012 </a>,Transit,2011,2012-05,0,0,0,0,292.8729292,41.0641727,73.88709,10.53637,1.23,-1.23,0.0,0.06,-0.06,0.0,0.11,-0.11,0.0,2.2,-1.9,0.0,6.3825,-6.3825,0.0434038,-0.0434038,0.03,0.0026664715,37.39985951761674
1286,Kepler-432 c,c,Kepler-432,406.2,0.498,86.90317161570154,13.3,1.8,801.5206150638595,4.11703170911118e-14,10.731272294887043,3.184,1.32,4995.0,0.92561258944389,4.06,4.2,-0.07,848.023,1.15095,11.0876491,<a refstr=QUINN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803...49Q/abstract target=ref>Quinn et al. 2015</a>,Radial Velocity,2015,2015-04,0,0,0,0,293.2822344,48.2859173,80.63315,13.48812,0.27,-0.213,0.0,0.1,-0.07,0.0,0.12,-0.08,0.0,0.8,-1.0,0.0,20.1675,-20.1675,0.0278185,-0.0278185,0.1028,0.0196834077999999,4.995341366956434
1287,Kepler-1656 c,c,Kepler-1656,33.02565672547412,0.527,86.90317161570154,14.0,0.253,164.5819822893881,1.1744270715967736e-11,161.98347107438016,3.184,1.03,5569.0,-0.0043233344529364,1.1,6.31,0.19,185.875,5.35115,20.6153452,<a refstr=ANGELO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..227A/abstract target=ref>Angelo et al. 2022</a>,Radial Velocity,2022,2022-05,0,0,0,0,284.4722473,39.911889,70.07924,15.86374,0.27,-0.213,0.0,0.04,-0.04,0.0,0.13,-0.13,0.0,2.1,-2.9,0.0,0.835,-0.827,0.0238717,-0.0238717,3.053,0.005332943,9.28767346747378
1288,WTS-2 b,b,WTS-2,0.0175302783948647,0.0,83.55,15.278,0.54,1565.3116212748544,2544.65094923811,414.9640604444445,1.4947874563752,0.82,5000.0,-0.288115363812098,0.75,0.6,0.2,1030.76834436541,0.970150088006095,0.9641658,<a refstr=BIRKBY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.440.1470B/abstract target=ref> Birkby et al. 2014 </a>,Transit,2014,2014-05,0,0,0,0,293.7327826,36.8154936,70.38182,7.98072,0.684,-0.684,0.0,0.08,-0.08,0.0,0.03,-0.03,0.0,2.2,-1.9,-1.0,143.325493949016,-143.325493949016,0.134896692674201,-0.134896692674201,0.01855,0.0036360975,16.423486923683306
1289,OGLE-2019-BLG-1180L b,b,OGLE-2019-BLG-1180L,100.17274168342568,0.0,86.90317161570154,13.5,1.24,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.55,5551.0,-0.0712,0.95,4.0,0.02,6070.0,2.713985,18.7319359,<a refstr=CHUNG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..253C/abstract target=ref>Chung et al. 2023</a>,Microlensing,2023,2023-12,0,0,0,0,269.2465417,-27.9754444,2.10264,-1.65646,0.27,-0.213,0.0,0.27,-0.26,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,870.0,-1320.0,0.0301566,-0.0301566,5.19,0.0046057235,44.57519751823087
1290,Kepler-1972 b,b,Kepler-1972,0.1251289107259968,0.067,87.62,0.802,22.2,1218.212696885584,1.139012263487228e-13,0.3377462717916404,6.926,1.12,5818.0,0.294,1.38,7.4,0.23,287.339,3.45152,28.796531,<a refstr=LELEU_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220111459L/abstract target=ref>Leleu et al. 2022</a>,Transit,2014,2014-12-04,0,0,0,0,288.3953074,39.8725067,71.27937,13.08704,0.042,-0.041,0.0,0.03,-0.03,0.0,0.05,-0.05,0.0,1.2,-1.2,0.0,2.098,-2.068,0.0250411,-0.0250411,0.0763,0.0066904194,7.532774095368845
1291,Kepler-424 b,b,Kepler-424,0.0577029738685695,0.0,84.68,9.98,1.94,1242.517063946846,470.754,112.72114078768678,1.3944,1.01,5460.0,-0.15,0.94,4.9,0.44,698.646,1.40277,6.294719,<a refstr=ENDL_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795..151E/abstract target=ref>Endl et al. 2014</a>,Transit,2014,2014-11,0,0,0,0,298.6249797,48.57745,82.57663,10.48256,0.9,-0.67,0.0,0.05,-0.05,0.0,0.06,-0.06,0.0,3.3,-2.4,0.0,10.125,-9.844,0.0202975,-0.0202975,0.044,0.0045572422,9.754310265758154
