Planet Name,Planet Letter,Host Star Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Planet Reference Name,Discovery Method,Discovery Year,Discovery Publication Date,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Star Age (Gyr)
Kepler-20 c,c,Kepler-20,0.1865744487731045,0.076,89.815,2.894,2.51,848.1952120097287,78.7,9.895127599243857,3.7768,0.93,5495.0,-0.164507664188796,0.92,5.6,0.07,282.563,3.51026,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,Transit,2011,2012-04,0,0,0,0,287.6979913,42.3385782,73.37692,14.57345,0.036,-0.033,0.0,0.0,0.01,-0.01,0.0,4.5,-3.5,0.0,11.98926690635247
Kepler-128 c,c,Kepler-128,0.3880889290956536,0.037,89.53,1.521,5.23794,947.8955279964828,1.171473251563074e-13,0.8395416606183772,4.9916,1.18,6072.0,0.575417983116486,1.66,4.07,0.0,396.379,2.49421,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,Transit,2013,2014-02,0,0,0,0,282.4922622,43.9802442,73.49392,18.70795,0.047,-0.047,0.0,0.0,0.04,-0.04,0.0,0.63,-0.61,0.0,6.61142357008276
Kepler-90 i,i,KOI-351,0.2472247297104847,0.0,89.2,1.32,5.5,970.4256476369106,1.1113462774136303e-14,1.047052460789616,2.8,1.12,6015.0,0.249994820016614,1.29,0.53,0.098,848.254,1.15007,<a refstr=SHALLUE__AMP__VANDERBURG_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...94S/abstract target=ref>Shallue &amp; Vanderburg 2018</a>,Transit,2017,2018-02,0,0,0,0,284.4334642,49.3051239,79.26947,19.25567,0.21,-0.21,0.0,0.0,0.17,-0.17,0.0,0.88,-0.88,0.0,7.532774095368845
Kepler-35 b,b,Kepler-35,3.122255164888853,0.042,90.76,8.16,0.41,360.5919222726558,1.1744270715967736e-11,62.763314167216514,3.184,0.89,5606.0,-0.027,1.03,4.0,-0.34,1819.17,0.521524,<a refstr=WELSH_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.481..475W/abstract target=ref> Welsh et al. 2012 </a>,Transit,2011,2012-01,0,0,0,0,294.496955,46.6896733,79.5413,12.04323,0.157,-0.157,0.0,0.0,0.0,-0.0,0.0,2.2,-1.9,0.0,13.382121954378992
Kepler-56 d,d,Kepler-56,15.425610407566705,0.2,86.90317161570154,12.8,4.67,331.6637892821689,3.4710843564873965e-14,9.200152736910672,3.184,1.672,4819.44,0.904546283477789,4.22,4.37,0.363,912.994,1.06729,<a refstr=OTOR_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..165O/abstract target=ref>Otor et al. 2016</a>,Radial Velocity,2016,2016-12,0,0,0,0,293.7583002,41.871807,74.92557,10.31441,0.27,-0.213,0.0,0.0,0.0511945,-0.05,0.0,0.41,-0.31,0.0,2.766363955124162
TOI-2076 b,b,TOI-2076,0.1768701935058217,0.0,88.9,2.771,4.1,770.7445664135429,84.06,11.997564062499997,3.2427741,0.86,5192.0,-0.378,0.8,2.7,0.02,41.9091,23.8322,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2021,2021-08,0,0,0,0,217.3920159,39.7903991,71.10629,66.0563,0.143,-0.095,0.0,0.0,0.03,-0.02,0.0,3.6,-1.9,0.0,14.57987739365041
HD 63935 c,c,HD 63935,0.3689848327080394,0.0,88.241,3.065,2.11,691.2973336685163,36.7,10.193386501736112,5.4205342,0.94,5513.0,-0.115,0.96,6.6,0.107,48.9739,20.3902,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Radial Velocity,2021,2021-11,0,0,0,0,117.9246417,9.3852412,211.23645,17.61294,0.088,-0.079,0.0,0.0,0.02,-0.02,0.0,2.5,-2.4,0.0,11.672943031448549
HD 93963 A b,b,HD 93963 A,0.0178889552756719,0.0,86.21,1.47,4.81,2056.327263650571,3.207920918046612e-13,2.03685550004713,1.8155952,1.08,5908.0,0.068,1.03,1.3,0.11,82.3432,12.1158,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2022,2022-07,0,0,0,0,162.7766969,25.641065,209.2072,63.07361,0.073,-0.066,0.0,0.0,0.02,-0.02,0.0,1.2,-0.8,0.0,8.249746644799178
TOI-1174 b,b,TOI-1174,0.1551226466128649,0.0,86.90317161570154,2.506,11.0,792.9682087397546,45.5604,10.32221564760026,3.0032222,0.84,5158.0,-0.403,0.78,2.7,-0.002,94.6375,10.5378,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2024,2024-06,0,0,0,0,209.2171751,68.6182106,114.20906,47.38653,0.142,-0.108,0.0,0.0,0.03,-0.02,0.0,3.6,-1.9,0.0,15.46328587273189
TOI-669 b,b,TOI-669,0.0688886716857831,0.0,86.90317161570154,2.586,3.17,1251.481448093445,388.2,6.823177226813589,2.8712193,0.92,5597.0,-0.062,0.99,7.9,0.001,142.867,6.97093,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2023,2023-10,0,0,0,0,158.9007013,-5.1813735,252.33673,43.94724,0.13,-0.11,0.0,0.0,0.02,-0.02,0.0,2.3,-2.2,0.0,12.317722947606022
TOI-1472 b,b,TOI-1472,0.1085565392388598,0.0,86.90317161570154,4.16,1.24,908.5029868970788,110.020069858168,24.52607709750567,2.6124358,0.92,5133.0,-0.356,0.84,2.3,0.287,121.84,8.18019,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2024,2024-06,0,0,0,0,14.1142611,48.6375168,123.78731,-14.22589,0.157,-0.126,0.0,0.0,0.01,-0.01,0.0,2.5,-1.5,0.0,12.317722947606022
TOI-1694 c,c,TOI-1694,0.2155114780738997,0.0,86.90317161570154,13.8,0.621,704.3620503954483,1.1744270715967736e-11,297.5625,3.184,0.85,5058.0,-0.418,0.8,4.3,0.131,124.68,7.99182,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Radial Velocity,2023,2023-02,0,0,0,0,97.7487104,66.3605956,148.58523,22.70153,0.27,-0.213,0.0,0.0,0.01,-0.01,0.0,3.5,-2.6,0.0,15.012488430356829
Kepler-186 e,e,Kepler-186,0.3308630564882538,0.0,89.84,1.27,5.77,385.50914716844034,3.608,7.301493888637394,3.3199,0.48,3788.0,-1.385,0.47,4.0,-0.28,177.594,5.60203,<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>,Transit,2014,2014-03,0,0,0,0,298.652736,43.9549884,78.5199,8.17058,0.15,-0.14,0.0,0.0,0.05,-0.05,0.0,2.2,-1.9,-1.0,62.64651358394377
HD 260655 b,b,HD 260655,0.047579691804518,0.039,87.35,1.24,6.2,725.2183137304078,42.2,7.942148760330579,1.15,0.44,3803.0,-1.44,0.44,5.0,-0.43,10.0055,99.9164,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,Transit,2022,2022-04,1,0,2,0,99.2915429,17.5662696,195.67069,4.86549,0.023,-0.023,0.0,0.0,0.0,-0.0,0.0,3.0,-3.0,0.0,77.86966543847201
TOI-1753 b,b,TOI-1753,0.0923838555568149,0.0,86.90317161570154,2.479,5.95,1122.136210920221,237.995959800992,6.53144967584228,3.1784345,0.95,5621.0,-0.07,0.97,5.9,0.026,226.671,4.38361,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2024,2024-06,0,0,0,0,252.4698351,61.1735768,91.04324,38.06535,0.098,-0.079,0.0,0.0,0.02,-0.02,0.0,2.4,-2.3,0.0,11.368181186539106
TOI-1799 b,b,TOI-1799,0.1226036683495183,0.0,86.90317161570154,1.422,7.51,1026.1886424405122,163.466135510318,2.240536288088643,3.1409935,0.94,5698.0,-0.062,0.95,5.1,-0.064,62.1274,16.0673,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2024,2024-06,0,0,0,0,167.2329152,34.3030149,188.54783,66.90425,0.093,-0.088,0.0,0.0,0.02,-0.02,0.0,2.2,-2.0,0.0,11.672943031448549
TOI-1801 b,b,TOI-1801,0.172455778114473,0.0,89.507,2.079,3.701,515.0478181009572,10.7276,14.2884,2.69911189290297,0.56,3863.0,-1.23,0.55,0.7,-0.19,30.6796,32.5678,<a refstr=MALLORQU_IACUTE_N_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231010244M/abstract target=ref>Mallorqu&iacute;n et al. 2023</a>,Transit,2023,2023-10,0,0,0,0,175.5755995,23.0270335,223.81459,73.83285,0.124,-0.11,0.0,0.0,0.03,-0.02,0.0,0.1,-0.1,0.0,42.61180515185337
TOI-2128 b,b,TOI-2128,0.2801991654486551,0.0,86.90317161570154,2.089,2.68,872.5857087901345,3.729536903560108e-12,3.478891103316325,4.6981114,1.03,5968.0,0.156,1.12,4.7,-0.07,36.578,27.3099,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2024,2024-06,0,0,0,0,256.9817998,32.1053027,54.70574,34.84643,0.089,-0.076,0.0,0.0,0.02,-0.02,0.0,1.7,-1.5,0.0,9.28767346747378
HIP 113103 b,b,HIP 113103,0.1306027403777093,0.17,88.23,1.829,3.59,794.9537039077014,1.1744270715967736e-11,6.108913440467495,2.1384,0.76,4930.0,-0.576294672571933,0.74,0.47,-0.1,46.2122,21.6104,<a refstr=LOWSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2649L/abstract target=ref>Lowson et al. 2023</a>,Transit,2023,2023-09,0,0,0,0,343.5723794,-43.0102291,351.44971,-61.47915,0.096,-0.067,0.0,0.0,0.01,-0.01,0.0,0.17,-0.11,0.0,19.85939524502785
HD 191939 g,g,HD 191939,5.108241285481496,0.03,86.90317161570154,3.74,1.42,283.3018700581438,0.99,15.830239927569036,3.184,0.81,5348.0,-0.187,0.94,8.7,-0.15,53.6089,18.6247,<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,Radial Velocity,2022,2022-11,1,0,0,0,302.0256247,66.8503014,99.98716,17.72195,0.27,-0.213,0.0,0.0,0.02,-0.02,0.0,2.2,-1.9,-1.0,16.935087808430286
Kepler-23 c,c,Kepler-23,0.181242047854778,0.021,89.86,3.005,1.57689,1149.9894761284093,1.8218418589628733e-14,3.758595213319458,6.0633,1.08,5828.0,0.397831768999924,1.55,6.61,-0.112016,835.756,1.16777,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,Transit,2011,2012-05,0,0,0,0,294.2189131,49.4792536,82.01371,13.45799,0.074,-0.074,0.0,0.0,0.05,-0.05,0.0,1.2,-1.1,0.0,8.249746644799178
Kepler-34 b,b,Kepler-34,6.974062910581639,0.182,90.355,8.564,0.613,300.3830736298769,1.7063798502903992e-15,54.50512485136744,3.184,1.05,5913.0,0.173,1.16,4.0,-0.07,1800.82,0.527276,<a refstr=WELSH_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.481..475W/abstract target=ref> Welsh et al. 2012 </a>,Transit,2011,2012-01,0,0,0,0,296.4358022,44.6415369,78.33868,9.89007,0.135,-0.157,0.0,0.0,0.0,-0.0,0.0,2.2,-1.9,0.0,8.851701341936808
TOI-1759 b,b,TOI-1759,0.3248475869901812,0.0,89.72,3.14,1.91,451.8768308056842,6.39,27.38777777777777,3.23,0.61,4065.0,-1.057,0.6,5.0,0.05,40.0654,24.9302,<a refstr=ESPINOZA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..133E/abstract target=ref>Espinoza et al. 2022</a>,Transit,2022,2022-02,0,0,0,0,326.8516615,62.7538164,103.55005,7.03023,0.1,-0.1,0.0,0.0,0.01,-0.01,0.0,3.0,-4.0,0.0,34.40926630822251
TOI-1249 b,b,TOI-1249,0.2249877789238837,0.0,86.90317161570154,3.271,1.84,811.5170641151241,48.6058,11.1406091211995,3.1451019,1.01,5497.0,-0.101,0.98,4.0,0.297,139.49,7.14014,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2024,2024-06,0,0,0,0,200.5615762,66.3085331,118.07243,50.52804,0.307,-0.187,0.0,0.0,0.02,-0.02,0.0,2.3,-2.0,0.0,9.754310265758154
TOI-1347 b,b,TOI-1347,0.0147283242844684,0.0,79.5,1.8,9.9,1874.234000593016,1876.13154887077,4.703149949194369,0.876961458128753,0.91,5464.0,-0.26,0.83,1.4,0.04,147.476,6.75233,<a refstr=RUBENZAHL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207451R/abstract target=ref>Rubenzahl et al. 2024</a>,Transit,2024,2024-02,0,0,0,0,280.3266806,70.2900536,100.863,26.2656,0.1,-0.1,0.0,0.0,0.03,-0.03,0.0,0.4,-0.4,0.0,12.658916033352472
HIP 9618 b,b,HIP 9618,0.3578227465461555,0.0,86.90317161570154,3.828,0.81,715.6411759032278,40.3,15.900156249999998,4.9427299,0.94,5649.0,-0.072,0.96,5.6,-0.018,67.5478,14.7755,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2023,2023-08,0,0,0,0,30.9050061,21.2813274,144.58681,-38.53616,0.104,-0.088,0.0,0.0,0.02,-0.02,0.0,2.3,-2.2,0.0,11.672943031448549
Kepler-25 d,d,Kepler-25,1.5609454372032092,0.13,86.90317161570154,10.0,0.395,549.6164321776403,2.111231699086244e-13,57.39210284664829,3.184,1.17,6270.0,0.390542051672983,1.32,11.0,-0.04,243.249,4.08224,<a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>,Radial Velocity,2014,2014-02,0,0,0,0,286.6383905,39.4879038,70.34971,14.16403,0.27,-0.213,0.0,0.0,0.02,-0.01,0.0,2.2,-1.9,0.0,6.753600168325288
Kepler-411 d,d,Kepler-411,0.9927194866156948,0.128,89.43,3.319,2.3,420.93624568530623,3.7,16.382749851279,5.669,0.87,4987.0,-0.578992815304329,0.82,0.212,0.11,153.676,6.47831,<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>,Transit,2018,2019-04,0,0,0,0,287.6057027,49.5233937,80.24936,17.40063,0.104,-0.104,0.0,0.0,0.02,-0.02,0.0,0.031,-0.031,0.0,14.164520211887895
TrES-2 b,b,TrES-2,0.0362354907668902,0.0,83.57,15.244,0.884,1614.8385063441206,2.6497743457058644e-14,185.2515433673469,1.74259,1.36,5850.0,0.0384067370219181,1.12,3.55,-0.15,215.32,4.61543,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Transit,2006,2006-11,45,4,0,0,286.8085258,49.3164211,79.84865,17.8079,0.897,-0.897,0.0,0.0,0.07,-0.07,0.0,1.36,-1.32,0.0,4.636099295591177
DMPP-4 b,b,DMPP-4,0.0600814352641166,0.063,86.90317161570154,3.53,1.52,1680.2987412111097,2.2885868320325638e-11,6.543215710985089,3.184,1.25,6400.0,0.459,1.38,2.15,-0.007,25.3284,39.4525,<a refstr=BARNES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2033B/abstract target=ref>Barnes et al. 2023</a>,Radial Velocity,2023,2023-10,1,0,0,0,293.5826648,51.2358069,83.46183,14.58774,0.27,-0.213,0.0,0.0,0.01,-0.01,0.0,0.32,-0.32,0.0,5.724334022399463
TOI-519 b,b,TOI-519,0.0216040958941657,0.33,88.9,11.545,0.56,767.3742441956075,54.0,1088.0573469387757,1.236,0.34,3322.0,-1.851,0.35,5.4,0.27,115.557,8.62578,<a refstr=KAGETANI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230414703K/abstract target=ref>Kagetani et al. 2023</a>,Transit,2021,2021-01,0,0,0,0,124.6067582,-19.6627918,240.59869,9.03821,0.336,-0.336,0.0,0.0,0.01,-0.01,0.0,4.6,-4.6,0.0,148.35517745891767
TOI-561 e,e,TOI-561,1.3114390899056996,0.079,89.8,2.55,4.2,423.2635359122569,4.96,9.215561224489797,6.98,0.81,5372.0,-0.273,0.84,11.0,-0.4,85.799,11.6268,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,Transit,2020,2020-12,0,0,0,0,148.1851516,6.216103,230.84909,42.72934,0.12,-0.13,0.0,0.0,0.01,-0.01,0.0,2.8,-3.5,0.0,16.935087808430286
TOI-1601 b,b,TOI-1601,0.0926755198492624,0.0,88.84,14.199,0.74,1659.26614175028,2.1116549394980443e-13,42.0365715894164,6.4852265,1.51,5982.0,0.748,2.19,2.4,0.343,336.608,2.94419,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,Transit,2021,2021-04,0,0,0,0,38.361569,41.0134321,142.89047,-17.87153,0.649,-0.511,0.0,0.0,0.06,-0.06,0.0,0.4,-0.2,0.0,3.569091087106528
Kepler-85 c,c,Kepler-85,0.2082008987475411,0.027,88.14,1.978,1.52727,801.2569923532338,61.929,5.052277892561983,4.572,0.93,5505.2,-0.212295099944824,0.88,4.37,0.0,765.025,1.27862,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,Transit,2012,2013-10,0,0,0,0,290.9734395,45.2902761,77.15239,13.63209,0.056,-0.057,0.0,0.0,0.02,-0.02,0.0,3.31,-2.43,0.0,11.98926690635247
LTT 1445 A c,c,LTT 1445 A,0.0534885107437445,0.223,87.43,1.147,5.57,523.8151343327448,10.9,18.04676268861453,0.482,0.26,3340.0,-2.04591193383467,0.27,4.0,-0.34,6.86929,145.547,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,Transit,2022,2021-07,1,0,0,0,45.4624781,-16.5944956,200.48712,-58.07573,0.055,-0.054,0.0,0.0,0.01,-0.01,0.0,2.2,-1.9,0.0,290.11262594405923
HD 191939 f,f,HD 191939,39.96339046992058,0.0,86.90317161570154,13.4,1.51,142.70936271152465,1.1744270715967736e-11,203.2141240380263,3.184,0.81,5348.0,-0.187,0.94,8.7,-0.15,53.6089,18.6247,<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,Radial Velocity,2022,2022-02,1,0,0,0,302.0256247,66.8503014,99.98716,17.72195,0.27,-0.213,0.0,0.0,0.02,-0.02,0.0,2.2,-1.9,-1.0,16.935087808430286
Kepler-619 d,d,Kepler-619,0.2010026632753807,0.0,88.28,4.17,1.23,924.2473227822426,112.07,18.8681640625,1.2641,1.04,6122.0,-0.0400249244249602,0.96,0.4,-0.18,900.678,1.08162,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,Transit,2023,2023-05,0,0,0,0,290.8490899,48.4159782,80.05008,15.00864,1.31,-0.44,0.0,0.0,0.3,-0.1,0.0,1.8,-1.8,0.0,9.066019560751853
Kepler-619 c,c,Kepler-619,0.0203114251421953,0.0,76.66,1.69,3.98,2067.9667176438475,1652.907,2.3180748315883446,1.5105,1.09,5980.0,-0.0400249244249602,1.11,3.47,0.05,900.678,1.08162,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Transit,2016,2016-05,0,0,0,0,290.8490899,48.4159782,80.05008,15.00864,0.39,-0.17,0.0,0.0,0.23,-0.11,0.0,1.94,-1.78,0.0,8.061832212954728
KMT-2019-BLG-0297L b,b,KMT-2019-BLG-0297L,12.89665465622564,0.0,86.90317161570154,12.1,18.7,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.21,5551.0,-0.0712,0.95,4.0,0.02,3090.0,2.713985,<a refstr=HAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A..71H/abstract target=ref>Han et al. 2023</a>,Microlensing,2023,2023-07,0,0,0,0,270.0632917,-28.9652806,1.60158,-2.77206,0.27,-0.213,0.0,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,494.82514792742046
TOI-1266 b,b,TOI-1266,0.1882100064305766,0.22,89.13,2.62,1.3,437.92661638233056,5.5,35.45661157024794,2.071,0.43,3618.0,-1.538,0.44,7.9,-0.195,36.0118,27.7397,<a refstr=CLOUTIER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.5464C/abstract target=ref>Cloutier et al. 2024</a>,Transit,2020,2020-10,0,0,0,0,197.9965833,65.8336973,119.58108,51.16066,0.11,-0.11,0.0,0.0,0.01,-0.01,0.0,4.2,-5.2,0.0,82.4762413913492
TOI-1266 c,c,TOI-1266,0.3246128166944352,0.34,89.15,2.13,1.6,365.1688219338736,2.7,23.43440082644628,1.951,0.43,3618.0,-1.538,0.44,7.9,-0.195,36.0118,27.7397,<a refstr=CLOUTIER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.5464C/abstract target=ref>Cloutier et al. 2024</a>,Transit,2020,2020-10,0,0,0,0,197.9965833,65.8336973,119.58108,51.16066,0.12,-0.12,0.0,0.0,0.01,-0.01,0.0,4.2,-5.2,0.0,82.4762413913492
HD 6860 b,b,HD 6860,11.516599170053697,0.28,86.90317161570154,11.9,29.3,1221.2177143540985,2.7601451141542427e-11,0.0189699609910836,3.184,2.49,3802.0,3.224,86.4,4.0,-0.03,61.12469,16.36,<a refstr=LEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230715897L/abstract target=ref>Lee et al. 2023</a>,Radial Velocity,2023,2023-07,0,0,0,0,17.432979,35.620499,127.10756,-27.10288,0.27,-0.213,0.0,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,1.0221194021458972
TOI-1420 b,b,TOI-1420,0.1194675050836092,0.17,88.58,11.89,0.082,976.5364733023848,139.0,167.02752835538757,3.372,0.99,5510.0,-0.152,0.92,10.7,0.28,201.918,4.9237,<a refstr=YOSHIDA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..181Y/abstract target=ref>Yoshida et al. 2023</a>,Transit,2023,2023-11,0,0,0,0,322.9418092,66.3490054,104.72204,10.82417,0.33,-0.33,0.0,0.0,0.02,-0.02,0.0,2.2,-1.9,1.0,10.254441539222652
Kepler-444 f,f,Kepler-444,0.1664578778371699,0.29,87.96,0.741,4.48,755.5088939616653,59.915,0.976144,1.6909,0.76,5046.0,-0.424552810872391,0.75,11.23,-0.55,36.4396,27.4137,<a refstr=CAMPANTE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799..170C/abstract target=ref>Campante et al. 2015</a>,Transit,2015,2015-02,1,0,0,0,289.7528323,41.631884,73.36096,12.89062,0.041,-0.04,0.0,0.0,0.01,-0.01,0.0,0.91,-0.99,0.0,19.85939524502785
Kepler-62 c,c,Kepler-62,0.2141799900129267,0.0,89.7,0.54,2.61,636.4444378205559,28.489,0.7119140625,3.02,0.69,4925.0,-0.678,0.64,7.0,-0.37,300.874,3.29474,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,Transit,2013,2013-05,0,0,0,0,283.2125621,45.3496992,75.0375,18.69539,0.03,-0.03,0.0,0.0,0.02,-0.02,0.0,4.0,-4.0,0.0,25.28583345636825
Kepler-50 b,b,Kepler-50,0.1205605202864938,0.0,89.88,1.71,6.04981973,1388.3362620355902,2.739830288852809e-13,1.171326710463067,3.8,1.24,6225.0,0.53581584623102,1.58,3.8,0.03,250.11,3.96961,<a refstr=CHAPLIN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...766..101C/abstract target=ref> Chaplin et al. 2013 </a>,Transit,2012,2013-01,0,0,0,0,288.1009312,50.0336844,80.87004,17.29263,0.05,-0.1,0.0,0.0,0.02,-0.02,0.0,0.8,-0.8,0.0,5.840442963929985
Kepler-65 c,c,Kepler-65,0.0996525074613712,0.02,92.33,2.58,1.64,1392.4793380703316,1.6206671014073524e-13,3.348121321865098,3.928,1.25,6211.0,0.467404894054077,1.41,2.9,0.17,303.728,3.26384,<a refstr=CHAPLIN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...766..101C/abstract target=ref> Chaplin et al. 2013 </a>,Transit,2012,2013-04,0,0,0,0,288.6887221,41.1511076,72.56961,13.41465,0.06,-0.06,0.0,0.0,0.03,-0.03,0.0,0.7,-0.7,0.0,5.724334022399463
Kepler-65 d,d,Kepler-65,0.1368181743125468,0.014,92.35,1.52,5.7,1252.8629693283149,1.6206671014073524e-13,1.1621145817614809,4.1,1.25,6211.0,0.467404894054077,1.41,2.9,0.17,303.728,3.26384,<a refstr=CHAPLIN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...766..101C/abstract target=ref> Chaplin et al. 2013 </a>,Transit,2012,2013-04,0,0,0,0,288.6887221,41.1511076,72.56961,13.41465,0.04,-0.04,0.0,0.0,0.03,-0.03,0.0,0.7,-0.7,0.0,5.724334022399463
